"Geography Type","Geography Name","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness"
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Cervix",5,1,0,1,0,0,0,29,19.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Head and neck",6,5,4,26,0,0,1,64,38.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Kidney",15,3,7,9,0,0,0,77,30.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Lung",50,26,66,161,0,0,0,214,58.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Oesophagus",8,3,14,11,0,0,0,62,36.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Other",26,18,30,100,8,0,554,537,14.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Ovary",17,4,18,10,0,0,8,57,43
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Pancreas",2,3,3,30,0,0,0,85,30.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Prostate",178,90,55,86,0,0,1,331,55.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Renal pelvis and ureter",0,0,2,4,0,0,10,21,16.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Skin cancer",78,14,5,2,0,0,4,84,52.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Testes",4,0,0,1,0,0,1,16,22.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2013,"Uterus",57,7,12,8,0,0,1,31,72.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Anus",0,3,2,1,0,0,1,16,26.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Bladder",19,5,1,12,0,0,160,110,12.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Bowel",63,120,166,101,0,0,0,99,82
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Breast",259,207,36,35,0,0,1,196,73.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Cervix",2,3,1,0,0,0,1,30,16.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Head and neck",6,6,4,29,0,0,3,88,33.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Kidney",21,2,14,17,0,0,0,84,39.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Lung",57,27,61,196,0,0,2,239,58.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Oesophagus",8,9,16,12,0,0,0,81,35.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Other",26,37,30,91,3,0,490,482,16.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Ovary",23,2,20,10,0,0,10,62,43.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Pancreas",4,0,7,39,0,0,0,90,35.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Prostate",191,115,90,95,0,0,0,219,69.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Renal pelvis and ureter",2,2,2,1,0,0,8,20,20
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Skin cancer",102,17,6,8,0,0,12,83,58.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Testes",4,2,0,2,0,0,1,24,24.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2014,"Uterus",60,5,11,4,0,0,1,48,62
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Anus",2,3,4,1,0,0,0,5,66.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Bladder",45,31,3,19,0,0,160,26,34.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Bowel",94,131,117,100,0,0,0,131,77.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Breast",300,269,36,45,0,0,1,88,88
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Cervix",7,3,0,4,0,0,1,24,35.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Head and neck",26,15,20,60,0,0,2,19,85.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Kidney",33,11,22,34,0,0,0,34,74.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Lung",66,44,102,242,0,0,1,97,82.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Oesophagus",11,12,30,48,0,0,0,26,79.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Other",64,64,67,192,17,2,525,318,32.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Ovary",25,6,42,16,0,0,5,19,78.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Pancreas",4,10,7,61,0,0,0,46,64.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Prostate",248,120,102,134,0,0,1,108,84.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Renal pelvis and ureter",3,1,2,6,0,0,11,2,48
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Skin cancer",110,50,8,10,0,0,15,26,81.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Testes",24,1,0,1,0,0,1,0,96.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2015,"Uterus",104,5,9,11,0,0,3,11,90.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Anus",4,5,9,0,0,0,0,5,78.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Bladder",53,27,3,17,0,0,184,44,30.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Bowel",81,143,137,114,0,0,1,95,83.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Breast",300,241,45,35,0,0,1,63,90.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Cervix",8,4,3,10,0,0,1,20,54.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Head and neck",26,20,20,62,0,0,0,12,91.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Kidney",34,8,16,26,0,0,1,57,59.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Lung",77,33,101,297,0,0,4,117,80.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Oesophagus",22,15,32,42,0,0,0,25,81.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Other",60,58,59,181,63,18,511,286,35.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Ovary",29,3,21,17,0,0,3,13,81.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Pancreas",6,4,8,67,0,0,0,63,57.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Prostate",209,133,103,124,0,0,0,142,80
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Renal pelvis and ureter",3,0,5,6,0,0,9,13,38.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Skin cancer",93,49,11,7,0,0,8,31,80.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Testes",15,1,4,0,0,0,1,6,74.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2016,"Uterus",88,7,11,19,0,0,2,12,89.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Anus",2,4,6,4,0,0,1,5,72.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Bladder",45,25,6,10,0,0,160,45,29.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Bowel",85,119,159,128,0,0,0,84,85.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Breast",315,273,55,36,0,0,2,51,92.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Cervix",8,9,4,6,0,0,1,12,67.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Head and neck",23,19,15,74,0,0,4,14,87.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Kidney",55,12,26,27,0,0,1,49,70.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Lung",77,48,141,290,0,0,3,87,86.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Oesophagus",10,18,28,35,0,0,1,28,75.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Other",80,63,68,164,40,13,525,266,35.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Ovary",29,4,35,26,0,0,2,20,81
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Pancreas",2,6,6,72,0,0,0,51,62.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Prostate",156,121,127,139,0,0,1,165,76.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Renal pelvis and ureter",2,0,3,5,0,0,14,9,30.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Skin cancer",106,46,23,3,0,0,6,41,79.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Testes",10,3,1,0,0,0,1,0,93.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2017,"Uterus",81,2,11,6,0,0,0,16,86.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Anus",3,2,8,3,0,0,0,6,72.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Bladder",52,38,11,9,0,0,169,47,33.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Bowel",101,139,147,128,0,0,0,89,85.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Breast",296,250,67,40,0,0,1,89,87.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Cervix",9,9,4,6,0,0,0,25,52.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Head and neck",19,22,22,75,0,0,1,24,84.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Kidney",42,15,32,19,0,0,0,47,69.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Lung",80,41,104,330,0,0,0,77,87.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Oesophagus",9,17,31,55,0,0,0,56,66.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Other",90,68,66,157,67,11,540,253,36.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Ovary",29,1,35,20,0,0,4,23,75.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Pancreas",3,10,9,64,0,0,0,68,55.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Prostate",235,130,193,137,0,0,1,172,80.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Renal pelvis and ureter",1,1,4,11,0,0,14,8,43.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Skin cancer",117,52,13,6,0,0,4,38,81.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Testes",15,1,1,0,0,0,1,8,65.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2018,"Uterus",103,13,10,8,0,0,0,18,88.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Anus",2,4,7,0,0,0,0,5,72.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Bladder",38,32,6,10,0,0,177,68,26
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Bowel",94,135,202,143,0,0,0,97,85.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Breast",271,181,45,20,0,0,2,183,73.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Cervix",8,10,2,4,0,0,0,28,46.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Head and neck",39,22,18,36,0,0,1,22,83.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Kidney",34,5,26,36,0,0,0,80,55.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Lung",86,43,127,308,0,0,0,108,83.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Oesophagus",12,15,48,58,0,0,0,49,73.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Other",63,30,50,167,78,7,566,323,30.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Ovary",16,0,40,21,0,0,4,38,64.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Pancreas",7,3,1,64,0,0,0,69,52.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Prostate",292,97,201,128,0,0,2,157,81.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Renal pelvis and ureter",4,4,1,4,0,0,17,13,30.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Skin cancer",97,47,15,8,0,0,15,62,68.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Testes",19,2,2,0,0,0,2,8,69.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2019,"Uterus",91,5,11,3,0,0,1,25,80.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Anus",1,1,10,2,0,0,0,2,87.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Bladder",47,31,15,22,0,0,151,30,38.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Bowel",93,107,171,122,0,0,0,74,86.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Breast",207,205,44,60,0,0,1,85,85.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Cervix",20,8,5,7,0,0,0,5,88.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Head and neck",30,25,13,57,0,0,3,11,89.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Kidney",39,11,21,27,0,0,0,33,74.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Lung",88,40,114,296,0,0,0,59,90.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Oesophagus",4,11,40,50,0,0,0,29,78.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Other",88,43,60,174,45,10,466,235,37.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Ovary",22,3,34,21,0,0,2,20,78.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Pancreas",14,11,6,92,0,0,0,51,70.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Prostate",224,41,196,125,0,0,0,74,88.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Renal pelvis and ureter",7,2,5,5,0,0,20,7,41.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Skin cancer",93,35,9,12,0,0,11,41,74.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Testes",18,0,4,0,0,0,1,3,84.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2020,"Uterus",83,10,14,7,0,0,0,15,88.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Anus",4,5,10,4,0,0,0,2,92
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Bladder",49,31,9,19,0,0,176,40,33.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Bowel",157,136,224,142,0,0,0,82,88.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Breast",273,227,43,109,0,0,4,58,91.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Cervix",28,6,5,2,0,0,0,7,85.4
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Head and neck",48,29,28,59,0,0,1,16,90.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Kidney",55,13,21,30,0,0,1,52,69.2
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Lung",108,47,120,313,0,0,0,61,90.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Oesophagus",11,15,41,71,0,0,0,29,82.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Other",89,57,84,210,43,3,484,253,39.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Ovary",21,5,32,16,0,0,5,26,70.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Pancreas",23,17,11,81,0,0,0,54,71
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Prostate",216,44,145,127,0,0,3,187,73.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Renal pelvis and ureter",3,2,3,10,0,0,22,3,41.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Skin cancer",119,60,29,7,0,0,8,42,81.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Testes",17,4,5,0,0,0,0,1,96.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2021,"Uterus",103,6,17,11,0,0,0,11,92.6
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Anus",6,1,14,2,0,0,2,4,79.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Bladder",40,37,20,15,0,0,194,35,32.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Bowel",129,151,183,132,0,0,0,93,86.5
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Breast",297,231,45,71,0,0,1,89,87.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Cervix",17,7,6,4,0,0,1,8,79.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Head and neck",58,20,30,47,0,0,0,5,96.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Kidney",65,20,27,34,0,0,0,30,83
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Lung",95,52,109,307,0,0,0,85,86.9
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Oesophagus",6,17,46,61,0,0,0,45,74.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Other",71,68,83,164,70,4,499,280,37.1
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Ovary",26,5,31,19,0,0,2,25,75
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Pancreas",23,12,7,90,0,0,0,67,66.3
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Prostate",290,77,251,162,0,0,2,127,85.8
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Renal pelvis and ureter",4,6,3,8,0,0,19,4,47.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Skin cancer",130,59,19,14,0,0,5,48,80.7
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Testes",15,1,1,0,0,0,1,2,85
"Integrated Care Board","NHS Lincolnshire Integrated Care Board",2022,"Uterus",85,3,11,9,0,0,2,19,83.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Anus",4,6,8,3,0,0,0,4,84
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Bladder",69,51,19,30,0,0,197,19,43.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Bowel",121,171,178,147,0,0,0,79,88.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Breast",380,358,83,46,0,0,1,63,93.1
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Cervix",19,16,4,4,0,0,0,14,75.4
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Head and neck",36,26,16,71,0,0,0,19,88.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Kidney",75,25,26,43,0,0,0,24,87.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Lung",80,46,162,406,0,0,0,41,94.4
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Oesophagus",12,19,40,51,0,0,0,30,80.3
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Other",105,75,94,192,17,4,704,343,31.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Ovary",46,13,70,21,0,0,7,16,86.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Pancreas",19,25,16,88,0,0,0,35,80.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Prostate",200,217,153,191,0,0,0,55,93.3
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Renal pelvis and ureter",9,3,5,7,0,0,12,2,63.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Skin cancer",221,45,18,3,0,0,10,41,84.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Testes",27,4,2,0,0,0,2,6,80.5
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2013,"Uterus",119,13,18,6,0,0,1,5,96.3
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Anus",4,7,10,2,0,0,1,4,82.1
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Bladder",90,59,13,29,0,0,207,10,46.8
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Bowel",112,195,167,166,0,0,1,72,89.8
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Breast",403,453,95,42,0,0,1,71,93.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Cervix",26,12,2,3,0,0,0,9,82.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Head and neck",39,18,28,64,0,0,2,10,92.5
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Kidney",83,19,35,50,0,0,0,9,95.4
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Lung",99,58,187,362,0,0,1,38,94.8
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Oesophagus",22,22,51,39,0,0,1,24,84.3
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Other",122,93,111,210,18,8,624,296,37.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Ovary",50,12,52,28,0,0,8,12,87.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Pancreas",11,28,15,89,0,0,0,43,76.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Prostate",237,239,168,176,0,0,1,43,94.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Renal pelvis and ureter",5,4,12,5,0,0,11,3,65
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Skin cancer",232,44,20,6,0,0,9,65,80.3
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Testes",40,2,1,1,0,0,0,4,91.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2014,"Uterus",124,10,25,10,0,0,2,7,94.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Anus",2,7,5,2,0,0,2,1,84.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Bladder",92,49,11,30,0,0,209,15,44.8
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Bowel",145,186,192,193,0,0,0,57,92.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Breast",449,404,102,56,0,0,9,47,94.8
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Cervix",14,12,1,7,0,0,0,8,81
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Head and neck",33,19,17,84,0,0,3,10,92.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Kidney",102,18,34,52,0,0,0,19,91.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Lung",105,49,177,434,0,0,2,37,95.1
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Oesophagus",15,19,39,40,0,0,1,51,68.5
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Other",120,83,123,240,40,9,673,287,39
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Ovary",37,12,58,26,0,0,7,10,88.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Pancreas",10,24,17,103,0,0,0,28,84.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Prostate",250,222,136,153,0,0,0,84,90.1
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Renal pelvis and ureter",6,5,8,7,0,0,11,2,66.7
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Skin cancer",237,64,30,4,0,0,9,72,80.5
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Testes",34,1,4,1,0,0,0,0,100
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2015,"Uterus",90,16,18,7,0,0,1,8,93.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Anus",4,6,13,6,0,0,2,5,80.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Bladder",71,51,14,31,0,0,233,17,40
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Bowel",132,189,179,200,0,0,0,79,89.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Breast",405,430,86,67,0,0,4,32,96.5
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Cervix",11,17,6,6,0,0,0,4,90.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Head and neck",32,22,22,92,0,0,6,7,92.8
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Kidney",87,8,38,48,0,0,0,22,89.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Lung",115,68,162,437,0,0,1,38,95.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Oesophagus",18,12,32,60,0,0,0,63,65.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Other",84,83,125,245,54,13,612,272,40.6
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Ovary",34,8,68,24,0,0,5,9,90.5
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Pancreas",21,25,22,127,0,0,0,32,85.9
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Prostate",321,225,176,186,0,0,0,122,88.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Renal pelvis and ureter",7,4,12,7,0,0,13,4,63.8
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Skin cancer",241,82,25,10,0,0,7,42,88
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Testes",27,3,4,0,0,0,0,8,81
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2016,"Uterus",122,10,19,16,0,0,0,3,98.2
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2017,"Anus",8,6,13,1,0,0,0,7,80
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2017,"Bladder",97,52,12,42,0,0,217,17,46.5
"Integrated Care Board","NHS Mid and South Essex Integrated Care Board",2017,"Bowel",139,189,183,210,0,0,0,50,93.5
