"28-DAY FASTER DIAGNOSIS: BY ROUTE & BY SUSPECTED CANCER OR BREAST SYMPTOMATIC",,,"As the recording of suspected cancer type from a NATIONAL SCREENING PROGRAMME is not mandated, where the REFERRAL ROUTE = NATIONAL SCREENING PROGRAMME and SUSPECTED CANCER OR BREAST SYMPTOMATIC has not been provided or is not recorded as Suspected breast, gynaecological or lower gastrointestinal cancer, the value of 'Missing or invalid' is provided",,,,,,,,,,,
"Jul-21",,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND 'UNKNOWNS'",,,,,,,,,,,,,,
"DEFINITIONS:  DCB0147 Amd 16/2019",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,"PERCENTAGE",,"NUMBER OF PEOPLE TOLD CANCER DIAGNOSIS OUTCOME",,,,
,"ODS CODE (1)","ACCOUNTABLE PROVIDER","REFERRAL ROUTE","SUSPECTED CANCER OR BREAST SYMPTOMATIC","TOTAL","WITHIN 28 DAYS","AFTER 28 DAYS","TOLD WITHIN 28 DAYS"," ","WITHIN 14 DAYS","IN 15 TO 28 DAYS","IN 29 TO 42 DAYS","IN 43 TO 62 DAYS","AFTER 62 DAYS"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected breast cancer","1","1","0","1",,"0","1","0","0","0"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected gynaecological cancer","5","4","1","0.8",,"1","3","0","0","1"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Suspected lower gastrointestinal cancer","16","11","5","0.6875",,"1","10","4","0","1"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected brain/central nervous system tumours","1","1","0","1",,"0","1","0","0","0"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","471","432","39","0.917197452229299",,"101","331","21","9","9"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","9","7","2","0.777777777777778",,"5","2","1","1","0"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","171","72","99","0.421052631578947",,"17","55","44","33","22"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected haematological malignancies (excluding acute leukaemia)","12","3","9","0.25",,"2","1","3","3","3"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected head & neck cancer","134","84","50","0.626865671641791",,"71","13","16","21","13"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lower gastrointestinal cancer","408","122","286","0.299019607843137",,"25","97","87","108","91"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected lung cancer","55","35","20","0.636363636363636",,"25","10","6","8","6"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected skin cancer","452","425","27","0.940265486725664",,"354","71","15","6","6"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected testicular cancer","8","3","5","0.375",,"2","1","4","0","1"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected upper gastrointestinal cancer","158","118","40","0.746835443037975",,"51","67","17","6","17"
,"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected urological malignancies (excluding testicular)","170","62","108","0.364705882352941",,"33","29","34","24","50"
,"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Missing or Invalid","1","0","1","0",,"0","0","0","1","0"
,"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","1","1","0","1",,"0","1","0","0","0"
,"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected gynaecological cancer","197","177","20","0.898477157360406",,"106","71","15","3","2"
,"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","108","104","4","0.962962962962963",,"95","9","2","1","1"
,"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","NATIONAL SCREENING PROGRAMME","Missing or Invalid","183","62","121","0.33879781420765",,"8","54","44","33","44"
,"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected breast cancer","201","193","8","0.960199004975124",,"160","33","3","3","2"
,"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","URGENT SUSPECTED CANCER","Suspected children's cancer","6","6","0","1",,"5","1","0","0","0"
