"Cancer.Alliance","mced_treated","cancer_grouping","cancer_grouping_label","time_granularity","period_label","min_monthNum","n_months","num_delayed","total_referrals","delay_rate","under_25pct_target","diff_from_25pct_target_pp","delay_rate_minus_did_estimate","adj_rate_under_25pct_target"
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,3867,16530,23.39,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,4431,14783,29.97,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,5102,21278,23.98,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,1609,8095,19.88,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,3326,9789,33.98,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,2284,9450,24.17,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,2679,9787,27.37,NA,NA,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,2563,8475,30.24,NA,NA,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,3098,14566,21.27,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,2530,12510,20.22,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,3603,16573,21.74,NA,NA,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,3418,10030,34.08,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,1656,6366,26.01,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,4807,19787,24.29,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,1866,7614,24.51,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,4258,16019,26.58,NA,NA,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,4302,19984,21.53,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,6321,26224,24.1,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Biannual","Apr 2024-Sep 2024",37,6,2836,12132,23.38,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,595,2038,29.2,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,794,3621,21.93,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,599,2001,29.94,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,726,2063,35.19,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,742,2228,33.3,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,355,1137,31.22,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,409,1186,34.49,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,282,1164,24.23,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,378,1352,27.96,NA,NA,NA,NA
"North East London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,400,1035,38.65,NA,NA,NA,NA
"Northern Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,448,1997,22.43,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,268,1513,17.71,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,633,2457,25.76,NA,NA,NA,NA
"South East London Cancer Alliance",1,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,412,1312,31.4,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,285,877,32.5,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,714,2541,28.1,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,142,729,19.48,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,542,2175,24.92,NA,NA,NA,NA
"West London Cancer Alliance",0,"primary_high_detection","Primary high-detection group","Monthly","Apr 2021",1,1,812,2480,32.74,NA,NA,NA,NA
