"Cancer.Alliance","mced_treated","cancer_grouping","cancer_grouping_label","time_granularity","period_label","min_monthNum","n_months","num_delayed","total_referrals","delay_rate","under_25pct_target","diff_from_25pct_target_pp","delay_rate_minus_did_estimate","adj_rate_under_25pct_target"
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,3384,20811,16.26,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,1763,13209,13.35,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,2902,27838,10.42,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,4017,26919,14.92,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,7158,29766,24.05,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,2792,20803,13.42,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,1701,13845,12.29,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,6632,36936,17.96,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,1080,14947,7.23,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,2894,24286,11.92,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,4630,32995,14.03,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,9707,51951,18.68,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2022-Mar 2023",19,6,4323,23566,18.34,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,5252,36172,14.52,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,7034,47882,14.69,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,10076,37023,27.22,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,5333,38765,13.76,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,5517,29469,18.72,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,1471,13003,11.31,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,2124,18678,11.37,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,1865,19999,9.33,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,4092,22097,18.52,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,1199,15558,7.71,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,3829,29778,12.86,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,5656,30598,18.48,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,7491,30476,24.58,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,2998,21675,13.83,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,1705,15207,11.21,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,8081,44814,18.03,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,1154,16794,6.87,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,3920,26906,14.57,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,5160,38766,13.31,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,8757,59197,14.79,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2023-Sep 2023",25,6,4774,25931,18.41,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,5247,35203,14.9,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,5453,47876,11.39,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,9392,40829,23,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,7706,41027,18.78,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,5178,29682,17.44,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,1923,13335,14.42,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,2354,19412,12.13,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,2328,20536,11.34,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,4450,22561,19.72,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,1353,15624,8.66,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,4286,30789,13.92,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,4343,31322,13.87,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,7684,33645,22.84,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,4460,21637,20.61,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,3222,15385,20.94,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,8154,46410,17.57,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,1836,17141,10.71,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,3686,26468,13.93,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,6691,40508,16.52,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,8875,60967,14.56,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Oct 2023-Mar 2024",31,6,5376,25560,21.03,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,5423,36862,14.71,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,5411,51518,10.5,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,8704,44789,19.43,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,6014,43706,13.76,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,5089,31840,15.98,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,1416,14170,9.99,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,3081,18924,16.28,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,2151,22785,9.44,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,3778,23720,15.93,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,1772,17736,9.99,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,3990,32948,12.11,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,3175,32851,9.66,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,6332,35514,17.83,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,3568,24649,14.48,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,2091,17022,12.28,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,7377,49179,15,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,2439,19054,12.8,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,4630,28755,16.1,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,6039,45854,13.17,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,8200,64523,12.71,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Biannual","Apr 2024-Sep 2024",37,6,4520,28393,15.92,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,479,4767,10.05,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,897,6637,13.52,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,607,4635,13.1,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,536,5253,10.2,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,520,3761,13.83,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,267,2097,12.73,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,355,2369,14.99,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,197,2569,7.67,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,524,3050,17.18,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,202,2210,9.14,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,350,4266,8.2,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,310,3904,7.94,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,704,4928,14.29,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,207,3383,6.12,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,373,2245,16.61,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,895,5232,17.11,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,141,1401,10.06,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,210,3675,5.71,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,756,5276,14.33,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,1565,6800,23.01,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Apr 2021",1,1,508,3711,13.69,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,397,4530,8.76,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,748,6560,11.4,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,878,4731,18.56,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,414,5179,7.99,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,568,3932,14.45,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,219,2174,10.07,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,232,2115,10.97,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,157,2559,6.14,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,537,3138,17.11,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,187,2351,7.95,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,447,4314,10.36,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,264,3780,6.98,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,895,5145,17.4,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,230,3179,7.23,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,302,2221,13.6,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,826,5385,15.34,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,171,2174,7.87,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,176,3462,5.08,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,867,5288,16.4,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,1779,6987,25.46,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","May 2021",2,1,618,3367,18.35,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,481,5161,9.32,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,719,7266,9.9,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,1095,5455,20.07,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,500,5355,9.34,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,584,4214,13.86,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,262,2325,11.27,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,301,2879,10.46,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,187,2956,6.33,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,584,3435,17,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,272,2751,9.89,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,724,4893,14.8,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,295,4165,7.08,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,1453,5844,24.86,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,265,3486,7.6,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,337,2383,14.14,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,1008,5925,17.01,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,291,2537,11.47,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,258,3822,6.75,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,823,5656,14.55,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,1973,8384,23.53,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jun 2021",3,1,791,4056,19.5,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,438,4837,9.06,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,832,7142,11.65,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,1109,5105,21.72,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,472,5071,9.31,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,415,3884,10.68,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,206,2156,9.55,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,324,2561,12.65,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,206,2874,7.17,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,657,3300,19.91,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,282,2594,10.87,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,832,4657,17.87,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,300,4042,7.42,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,1048,5572,18.81,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,241,3403,7.08,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,281,2272,12.37,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,926,5419,17.09,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,176,2410,7.3,NA,NA,NA,NA
"Wessex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,289,3947,7.32,NA,NA,NA,NA
"West London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,674,5394,12.5,NA,NA,NA,NA
"West Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,1156,7474,15.47,NA,NA,NA,NA
"West Yorkshire and Harrogate Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Jul 2021",4,1,561,4039,13.89,NA,NA,NA,NA
"Cheshire and Merseyside Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,399,4284,9.31,NA,NA,NA,NA
"East Midlands Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,752,6629,11.34,NA,NA,NA,NA
"East of England - North Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,1122,5117,21.93,NA,NA,NA,NA
"East of England - South Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,454,4716,9.63,NA,NA,NA,NA
"Greater Manchester Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,470,3641,12.91,NA,NA,NA,NA
"Humber and North Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,201,2011,10,NA,NA,NA,NA
"Kent and Medway Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,298,2404,12.4,NA,NA,NA,NA
"Lancashire & South Cumbria Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,226,2848,7.94,NA,NA,NA,NA
"North Central London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,553,2806,19.71,NA,NA,NA,NA
"North East London Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,242,2116,11.44,NA,NA,NA,NA
"Northern Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,783,4420,17.71,NA,NA,NA,NA
"Peninsula Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,326,3726,8.75,NA,NA,NA,NA
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,706,5026,14.05,NA,NA,NA,NA
"South East London Cancer Alliance",1,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,310,3096,10.01,NA,NA,NA,NA
"South Yorkshire Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,263,2214,11.88,NA,NA,NA,NA
"Surrey and Sussex Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,960,5090,18.86,NA,NA,NA,NA
"Thames Valley Cancer Alliance",0,"sec_low_detection","Secondary low-detection group","Monthly","Aug 2021",5,1,217,2321,9.35,NA,NA,NA,NA
